"","pn","ay","out_cit"
"1","US4864816",1988,"US3899886"
"2","US4864816",1988,"US4266401"
"3","US4864816",1988,"US3981140"
"4","US4864816",1988,"US3255586"
"5","US4864816",1988,"US4539810"
"6","US4864816",1988,"US4173119"
"7","US4864816",1988,"US3686860"
"8","US5768884",1995,"US4569195"
"9","US5768884",1995,"US5261225"
"10","US5768884",1995,"US2625012"
"11","US5768884",1995,"US4631914"
"12","US5768884",1995,"US4660376"
"13","US5768884",1995,"US5050375"
"14","US5768884",1995,"US5174105"
"15","US5768884",1995,"US4829763"
"16","US5768884",1995,"US4714032"
"17","US5768884",1995,"US5301500"
"18","US5768884",1995,"US4896499"
"19","US5768884",1995,"US5000099"
"20","US6619030",2002,"US4558564"
"21","US6619030",2002,"US4758129"
"22","US6619030",2002,"US5813214"
"23","US6619030",2002,"US4790133"
"24","US6619030",2002,"US5409184"
"25","US6619030",2002,"US4809498"
"26","US6619030",2002,"US5160251"
"27","US6619030",2002,"US5438756"
"28","US6619030",2002,"US4976102"
"29","US6619030",2002,"US4860537"
"30","US6619030",2002,"US5292227"
"31","US6619030",2002,"US5746574"
"32","US6619030",2002,"US5177957"
"33","US6619030",2002,"US4951461"
"34","US6619030",2002,"US5361580"
"35","US6619030",2002,"US5307622"
"36","US6619030",2002,"US4965994"
"37","US6619030",2002,"US5452575"
"38","US6619030",2002,"US5443590"
"39","US6619030",2002,"US6439841"
"40","US6701717",2002,"DE856036A"
"41","US6701717",2002,"US3751909"
"42","US6701717",2002,"US3041822"
"43","US6701717",2002,"EP0247984A1"
"44","US6701717",2002,"US3070131"
"45","US6701717",2002,"GB490198A"
"46","US6701717",2002,"US3385509"
"47","US6701717",2002,"GB701324A"
