"","pn","ay","out_cit"
"1","US10060264",2011,"US2008298975A1"
"2","US10060264",2011,"US4501053A"
"3","US10060264",2011,"US7247002B2"
"4","US10060264",2011,"US6582194B1"
"5","US10060264",2011,"US6514042B2"
"6","US10060264",2011,"US6003754A"
"7","US10060264",2011,"US7824150B1"
"8","US10060264",2011,"EP1586738A2"
"9","US10060264",2011,"US7695245B1"
"10","US10060264",2011,"US2644665A"
"11","US10060264",2011,"EP1790821A1"
"12","US10060264",2011,"JPH07305603A"
"13","US10060264",2011,"US7300251B2"
"14","US10060264",2011,"US4583914A"
"15","US10060264",2011,"US6439846B1"
"16","US10060264",2011,"US3806276A"
"17","US10060264",2011,"WO0003124A2"
"18","US10060264",2011,"US5690472A"
"19","US10060264",2011,"US6220817B1"
"20","US10060264",2011,"US2010221123A1"
"21","US10060264",2011,"US5263820A"
"22","US10060264",2011,"US6709230B2"
"23","US10060264",2011,"US7744348B2"
"24","US10060264",2011,"US3402914A"
"25","US10060264",2011,"US2006120869A1"
"26","US10060264",2011,"US4042162A"
"27","US10060264",2011,"US5328331A"
"28","US10060264",2011,"US4650399A"
"29","US10060264",2011,"US4752186A"
"30","US10060264",2011,"US7828515B1"
"31","US10060264",2011,"US6254334B1"
"32","US10060264",2011,"US2010034638A1"
"33","US10060264",2011,"US7674092B2"
"34","US10060264",2011,"EP1116861A2"
"35","US10060264",2011,"EP1607575A1"
"36","US10060264",2011,"US7438528B2"
"37","US10060264",2011,"US7527470B2"
"38","US10060264",2011,"US6582186B2"
"39","US10060264",2011,"US7131818B2"
"40","US10060264",2011,"US6974308B2"
"41","US10060264",2011,"US5486093A"
"42","US10060264",2011,"US3819295A"
"43","US10060264",2011,"US3644059A"
"44","US10060264",2011,"EP0641917A1"
"45","US10060264",2011,"US3644060A"
"46","US10060264",2011,"US4056332A"
"47","US10060264",2011,"US2005249583A1"
"48","US10060264",2011,"US2002182056A1"
"49","US10060264",2011,"US7021896B2"
"50","US10060264",2011,"EP1548230A2"
"51","US10060264",2011,"US5370499A"
"52","US10060264",2011,"US4407632A"
"53","US10156143",2007,"EP1101900A1"
"54","US10156143",2007,"US6974308"
"55","US10156143",2007,"US5690472"
"56","US10156143",2007,"US5288207"
"57","US10156143",2007,"US4297077"
"58","US10156143",2007,"US5626462"
"59","US10156143",2007,"US5669759"
"60","US10156143",2007,"EP1790819A1"
"61","US10156143",2007,"US5813835"
"62","US10156143",2007,"US2647368"
"63","US10156143",2007,"US5215431"
"64","US10156143",2007,"US7131818"
"65","US10156143",2007,"US5931636"
"66","US10156143",2007,"US5193980"
"67","US10156143",2007,"US3844678"
"68","US10156143",2007,"US7090461"
"69","US10156143",2007,"US7513739"
"70","US10156143",2007,"DE892698A"
"71","US10156143",2007,"US6254334"
"72","US10156143",2007,"DE892698C"
"73","US10156143",2007,"US6419449"
"74","US10156143",2007,"US5328331"
"75","US10156143",2007,"US5281084"
"76","US10156143",2007,"US4767261"
"77","US10156143",2007,"US5820337"
"78","US10156143",2007,"WO2007122022A1"
